90,1.00,27.05,27.82
90,2.00,27.01,27.77
90,3.01,27.10,27.78
90,4.01,27.21,27.74
90,5.01,27.21,27.60
90,6.02,27.28,27.70
90,7.02,27.40,27.51
90,8.02,27.76,28.10
90,9.03,27.80,28.18
90,10.03,28.07,28.34
90,11.03,28.48,28.46
90,12.03,28.71,28.79
90,13.04,29.21,28.84
90,14.04,29.67,28.96
90,15.04,30.05,29.27
90,16.05,30.73,29.15
90,17.05,31.23,29.48
90,18.05,31.74,29.73
90,19.05,32.41,29.75
90,20.06,33.04,29.91
90,21.06,33.76,30.36
90,22.06,34.41,30.51
90,23.07,35.14,30.79
90,24.07,35.91,31.22
90,25.07,36.60,31.57
90,26.08,37.42,31.97
90,27.08,38.10,32.39
90,28.08,38.86,32.48
90,29.09,39.78,32.81
90,30.09,40.64,32.86
90,31.09,41.57,32.99
90,32.09,42.70,33.26
90,33.10,43.43,33.75
90,34.10,44.28,34.49
90,35.10,45.55,34.84
90,36.11,46.42,35.58
90,37.11,47.43,35.90
90,38.11,48.43,36.12
90,39.12,49.43,36.44
90,40.12,50.35,36.97
90,41.12,51.31,37.33
90,42.12,52.47,37.61
90,43.13,53.62,37.88
90,44.13,54.69,38.17
90,45.13,55.82,38.53
90,46.14,56.87,38.85
90,47.14,57.93,39.22
90,48.14,58.89,40.04
90,49.15,60.09,40.58
90,50.15,61.23,41.15
90,51.15,62.23,41.73
90,52.15,63.30,42.04
90,53.16,64.50,42.33
90,54.16,65.63,42.75
90,55.16,66.72,43.21
90,56.17,67.54,43.77
90,57.17,68.58,44.11
90,58.17,69.69,44.38
90,59.17,70.73,44.92
90,60.18,71.74,45.47
90,61.18,72.77,45.76
90,62.18,73.75,46.21
90,63.19,74.74,47.14
90,64.19,75.89,48.03
90,65.19,76.99,48.73
90,66.20,78.33,49.22
90,67.20,79.56,49.74
90,68.20,80.88,50.31
90,69.20,82.18,51.06
90,70.21,83.44,51.82
90,71.21,84.59,52.32
90,72.21,85.83,53.43
90,73.22,86.79,54.04
90,74.22,87.88,54.47
90,75.22,88.90,54.98
90,76.23,90.10,55.39
90,77.23,91.23,55.96
90,78.23,92.49,56.46
90,79.23,93.61,57.11
90,80.24,94.46,57.55
90,81.24,95.31,58.10
90,82.24,96.08,58.65
90,83.25,97.54,59.00
90,84.25,98.35,59.54
90,85.25,99.59,60.12
90,86.26,100.76,60.63
90,87.26,101.77,61.03
90,88.26,102.89,61.84
90,89.27,103.85,62.49
90,90.27,104.81,63.08
90,91.27,105.62,63.71
